rank,rider,rider_number,team,time,bonus,penalty,stage,date,distance,origin,destination,stage_type,winner_country,general,points,mountains,young,stage_winner,time_seconds,cumtime,gc_rank,timediff
40,Niklas Eg,102,Trek - Segafredo,5H 16M 11S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,18971,209493,61,879
55,Winner Anacona,82,Team Arkea - Samsic,5H 23M 27S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19407,209533,62,1315
120,David Gaudu,53,Groupama - Fdj,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,209648,63,1816
52,Dylan Van Baarle,8,Ineos Grenadiers,5H 21M 52S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19312,209734,64,1220
100,Toms Skujins,106,Trek - Segafredo,5H 30M 18S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19818,209765,65,1726
80,Quentin Pacher,216,B&B Hotels - Vital Concept P / B Ktm,5H 28M 20S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19700,209934,66,1608
63,Ben Hermans,173,Israel Start-Up Nation,5H 24M 58S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19498,209976,67,1406
137,Felix Grossschartner,23,Bora - Hansgrohe,5H 32M 21S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19941,210193,68,1849
81,Cyril Gautier,215,B&B Hotels - Vital Concept P / B Ktm,5H 28M 20S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19700,210224,69,1608
95,Nicolas Roche,208,Team Sunweb,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,210394,70,1705
42,Oliver Naesen,35,Ag2r La Mondiale,5H 18M 38S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19118,210400,71,1026
89,José Rojas,96,Movistar Team,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,210564,72,1705
