Rank,Rider,Rank.1,Rider No.,Team,Times,Gap,B,P,year,edition
97,MICHAEL GOGL,97,194,NTT PRO CYCLING TEAM,03h 46' 23'',-,-,-,2020.0,107.0
98,MIKEL NIEVE,98,168,MITCHELTON - SCOTT,03h 46' 23'',-,-,-,2020.0,107.0
99,MAXIMILIAN SCHACHMANN,99,28,BORA - HANSGROHE,03h 46' 23'',-,-,-,2020.0,107.0
100,DYLAN VAN BAARLE,100,8,INEOS GRENADIERS,03h 46' 23'',-,-,-,2020.0,107.0
101,KENNY ELISSONDE,101,103,TREK - SEGAFREDO,03h 46' 23'',-,-,-,2020.0,107.0
102,NICOLAS ROCHE,102,208,TEAM SUNWEB,03h 46' 23'',-,-,-,2020.0,107.0
103,JAN HIRT,103,114,CCC TEAM,03h 46' 23'',-,-,-,2020.0,107.0
104,ALESSANDRO DE MARCHI,104,112,CCC TEAM,03h 46' 23'',-,-,-,2020.0,107.0
105,DRIES DEVENYNS,105,46,DECEUNINCK - QUICK - STEP,03h 46' 23'',-,-,-,2020.0,107.0
106,TIM DECLERCQ,106,45,DECEUNINCK - QUICK - STEP,03h 46' 23'',-,-,-,2020.0,107.0
107,JULIAN ALAPHILIPPE,107,41,DECEUNINCK - QUICK - STEP,03h 46' 23'',-,-,-,2020.0,107.0
108,BOB JUNGELS,108,47,DECEUNINCK - QUICK - STEP,03h 46' 23'',-,-,-,2020.0,107.0
109,ALEXEY LUTSENKO,109,146,ASTANA PRO TEAM,03h 46' 23'',-,-,-,2020.0,107.0
110,ILNUR ZAKARIN,110,118,CCC TEAM,03h 46' 23'',-,-,-,2020.0,107.0
111,IMANOL ERVITI,111,93,MOVISTAR TEAM,03h 46' 23'',-,-,-,2020.0,107.0
